;SiteName;Long10;Lat10;Altitude;Domain;vegetation_type;TempAnn;TempDayRng;Isotherm;TempSeas;TempMax;TempMin;TempAnnRng;PrecAnn;PrecWetP;PrecDryP;PrecSeas;WaterDefDur;WaterDefSev;DaysFrost;CloudItcp;Rockiness;Sandiness;SoilDrain;SoilWaterStorage;SoilFert;Salinity
AtlMG087;Serra do Curral, Baleia, nanofloresta rupícola;-438.972;-199.358;1020;Atlantic Forest;montane_evergreen;19.6;12.2;66;195;27.6;9.2;18.4;1475;325;12;91;125;73;1;94;80;85;20;19;5;0
AtlMG088;Gongo Soco, nanofloresta rupícola;-436.136;-199.511;1332;Atlantic Forest;montane_evergreen;17.6;11.5;66;195;25.4;7.9;17.5;1574;339;12;88;105;51;3;131;80;85;20;19;5;0
AtlMG089;Serra do Rola-Moça, nanofloresta rupícola;-440.378;-200.664;1207;Atlantic Forest;montane_evergreen;18.6;12.4;67;193;26.7;8.1;18.6;1509;333;12;90;120;63;2;114;80;85;20;19;5;0
AtlMG090;Serra da Pedra Grande, nanofloresta rupícola;-443.533;-201.231;1296;Atlantic Forest;montane_evergreen;18.8;12.9;68;202;26.8;7.8;19;1484;321;11;91;120;69;3;120;80;85;20;19;5;0
AtlMG091;Capitão do Mato, nanofloresta rupícola;-439.133;-201.378;1152;Atlantic Forest;montane_evergreen;18.5;12.2;67;194;26.5;8.3;18.2;1513;339;12;90;115;61;2;109;80;85;20;19;5;0
AtlMG092;Capanema, nanofloresta rupícola;-436.458;-20.17;1208;Atlantic Forest;montane_evergreen;17.7;11.5;66;193;25.5;8;17.5;1573;338;14;87;100;44;3;119;80;85;20;19;5;0
AtlMG093;Mariana, nanofloresta rupícola;-434.567;-203.608;1260;Atlantic Forest;montane_evergreen;17.6;11.2;64;200;25.2;7.8;17.4;1599;332;16;84;95;34;3;126;80;85;20;19;5;0
AtlMG094;Serra de Ouro Branco, nanofloresta rupícola;-436.503;-205.061;1305;Atlantic Forest;montane_evergreen;17.4;11.3;64;203;25.2;7.6;17.6;1581;328;16;85;95;35;3;129;80;85;20;19;5;0
AtlMG095;Montividiu, floresta semidecídua;-430.514;-150.278;920;Atlantic Forest;semideciduous_forest;21.8;11.2;75;126;28.8;13.8;15;863;194;1;97;160;177;0;0;45;65;20;33;5;0
AtlMG096;Rio Pardo de Minas, floresta semidecídua;-426.083;-156.231;785;Atlantic Forest;semideciduous_forest;21.2;12.2;71;164;29;11.9;17.1;917;208;2;96;160;150;0;0;45;65;20;33;5;0
AtlMG097;Riacho dos Machados, floresta semidecídua;-430.708;-161.025;880;Atlantic Forest;semideciduous_forest;20.6;12.6;70;173;28.8;10.9;17.9;921;211;3;99;160;153;0;0;45;65;20;33;5;0
AtlMG098;Grão Mogol, Rio Itacambiruçu, floresta semidecídua;-428.539;-165.867;641;Atlantic Forest;semideciduous_forest;21.6;12.9;70;181;30;11.7;18.3;957;213;6;95;160;147;0;0;45;65;20;33;5;0
AtlMG099;Adão Colares, Rio Itacambiruçu, floresta semidecídua;-430.331;-166.939;750;Atlantic Forest;semideciduous_forest;21.1;12.7;71;179;29.4;11.4;18;984;216;5;95;155;143;0;0;45;65;20;33;5;0
AtlMG100;Itacambira, Rio Itacambiruçu, floresta semidecídua;-432.711;-170.244;843;Atlantic Forest;semideciduous_forest;21.1;12.4;71;173;29.1;11.6;17.5;1027;228;5;96;160;146;0;0;45;65;20;33;5;0
AtlMG101;Peixe Cru, floresta semidecídua;-429.486;-171.181;700;Atlantic Forest;semideciduous_forest;22.6;12.5;71;158;30.6;13;17.6;1019;240;0;104;165;186;0;0;80;55;20;26;5;0
AtlMG102;Acauã, floresta semidecídua;-427.417;-171.428;937;Atlantic Forest;semideciduous_forest;21.1;12.5;70;178;29.4;11.6;17.8;977;213;6;94;160;139;0;0;80;55;20;26;17;0
AtlMG103;Planalto de Minas, floresta semidecídua;-431.906;-175.069;908;Atlantic Forest;semideciduous_forest;21;11.9;68;181;29.1;11.6;17.5;1087;240;6;94;155;131;0;0;80;55;20;26;17;0
AtlMG104;Abadia, floresta semidecídua;-431.067;-176.769;664;Atlantic Forest;semideciduous_forest;22;12.2;68;187;30.1;12.2;17.9;1061;234;5;95;160;143;0;0;20;45;20;44;17;0
AtlMG105;São Gonçalo do Rio Preto, floresta semidecídua;-433.961;-179.997;786;Atlantic Forest;semideciduous_forest;20.9;11.7;66;189;29.3;11.5;17.8;1254;274;7;92;135;115;0;0;20;55;20;41;17;0
AtlMG106;São João da Chapada, Macacos, floresta semidecídua;-437.256;-180.064;948;Atlantic Forest;semideciduous_forest;20.6;11.3;64;180;29.1;11.5;17.6;1343;304;6;92;130;107;0;0;45;65;20;33;5;0
AtlMG107;Mendanha, Rio Jequitinhonha, floresta semidecídua;-434.494;-182.656;738;Atlantic Forest;semideciduous_forest;21.2;11.6;64;190;29.8;11.8;18;1366;302;9;90;130;104;0;0;45;65;20;33;5;0
AtlMG108;Serra Azul de Minas, floresta semidecídua;-432.164;-183.575;771;Atlantic Forest;semideciduous_forest;20.6;11.9;65;201;29.1;10.7;18.4;1376;307;9;89;125;89;0;0;20;65;35;46;17;0
AtlMG109;Milho Verde, Rio Jequitinhonha, floresta semidecídua;-435.317;-184.842;947;Atlantic Forest;semideciduous_forest;20;11.5;63;194;28.6;10.4;18.2;1429;326;8;91;125;87;0;0;45;65;20;33;5;0
AtlMG110;Conceição do Mato Dentro, floresta semidecídua;-435.314;-189.831;715;Atlantic Forest;semideciduous_forest;21.1;12.7;65;209;29.7;10.1;19.6;1596;378;8;91;120;85;0;0;20;65;35;46;17;0
AtlMG111;Cabeça de Boi, floresta semidecídua;-434.231;-194.061;847;Atlantic Forest;semideciduous_forest;20.2;11.8;66;196;28.4;10.5;17.9;1567;340;10;88;120;82;0;0;20;65;35;46;17;0
AtlMG112;Itabira, floresta semidecídua;-433.194;-196.625;968;Atlantic Forest;semideciduous_forest;19.7;11.5;64;207;27.7;9.8;17.9;1508;336;10;88;120;75;0;0;20;65;35;46;17;0
AtlMG113;Esmeraldas, floresta semidecídua;-441.642;-197.906;947;Atlantic Forest;semideciduous_forest;20.8;12.4;67;184;28.7;10.3;18.4;1377;297;9;92;135;98;0;0;5;65;35;50;17;0
AtlMG114;Belo Horizonte, floresta semidecídua;-439.719;-198.769;847;Atlantic Forest;semideciduous_forest;20.7;12.2;67;191;28.6;10.3;18.3;1426;309;11;91;135;87;0;0;5;55;35;53;17;0
AtlMG115;Sabará, Chácara do Lessa, floresta semidecídua;-438.089;-198.783;905;Atlantic Forest;semideciduous_forest;20.3;11.8;66;197;28.1;10.3;17.8;1432;313;10;92;130;85;0;0;20;65;35;46;17;0
AtlMG116;Betim, floresta semidecídua;-442.419;-199.478;783;Atlantic Forest;semideciduous_forest;21.4;12.9;68;190;29.5;10.4;19.1;1358;287;10;91;135;98;0;0;5;55;35;53;17;0
AtlMG117;Nova Lima, Mata do Jambreiro, floresta semidecídua;-438.842;-199.789;855;Atlantic Forest;semideciduous_forest;20.5;12.4;66;198;28.6;9.9;18.7;1463;325;12;92;130;81;0;0;20;65;35;46;37;0
AtlMG118;Mateus Leme, floresta semidecídua;-443.328;-199.994;804;Atlantic Forest;semideciduous_forest;21.4;13;68;193;29.5;10.3;19.2;1373;296;9;91;135;101;0;0;5;65;35;50;37;0
AtlMG119;São Gonçalo do Monte, floresta semidecídua;-435.294;-200.136;842;Atlantic Forest;semideciduous_forest;19.9;11.6;64;208;27.9;9.7;18.2;1430;308;11;89;125;79;0;0;5;65;35;50;17;0
AtlMG120;Brumadinho, floresta semidecídua;-442.647;-201.778;862;Atlantic Forest;semideciduous_forest;21;13.1;68;201;29.3;9.9;19.4;1354;291;10;91;140;94;0;0;5;65;35;50;17;0
AtlMG121;Mariana, floresta semidecídua;-433.861;-203.689;722;Atlantic Forest;semideciduous_forest;20;11.5;62;219;28.2;9.7;18.5;1339;264;11;86;125;81;0;0;5;65;35;50;17;0
AtlMG122;Congonhas do Campo, floresta semidecídua;-438.675;-205.192;265;Atlantic Forest;semideciduous_forest;23;12.3;67;205;31.3;12.9;18.4;1410;299;14;88;140;96;0;0;20;65;35;46;17;0
AtlMG124;Serro, floresta semidecídua;-433.878;-185.489;1120;Atlantic Forest;semideciduous_forest;19.1;11.8;64;204;27.6;9.1;18.5;1522;346;9;90;115;73;1;107;20;65;50;54;17;0
AtlMG125;Congonhas do Norte, floresta semidecídua;-436.822;-187.819;1144;Atlantic Forest;semideciduous_forest;19;11.5;64;188;27.5;9.4;18.1;1488;323;8;88;115;77;0;106;20;65;35;46;17;0
AtlMG126;Morro do Pilar, floresta semidecídua;-434.361;-192.064;1086;Atlantic Forest;semideciduous_forest;19.1;12;65;207;27.4;8.8;18.6;1666;380;9;89;115;69;1;113;20;65;50;54;17;0
AtlMG127;Serra da Piedade, Penedia, floresta semidecídua;-436.486;-198.306;1211;Atlantic Forest;semideciduous_forest;18.8;11.6;67;189;26.6;9.2;17.4;1527;328;11;88;115;67;1;116;20;65;50;54;17;0
AtlMG128;Serra do Curral, Mutuca, floresta semidecídua;-439.731;-200.139;1202;Atlantic Forest;semideciduous_forest;18.8;12.4;67;191;26.8;8.3;18.5;1504;333;11;91;120;66;2;113;20;65;50;54;17;0
AtlMG129;Serra da Gandarela, floresta semidecídua;-436.686;-200.722;1228;Atlantic Forest;semideciduous_forest;18;11.6;67;183;25.9;8.6;17.3;1612;338;14;86;105;46;2;124;20;65;50;54;17;0
AtlMG130;Serra da Calçada, floresta semidecídua;-439.967;-201.369;1077;Atlantic Forest;semideciduous_forest;20;12.9;67;202;28.2;8.9;19.3;1413;327;10;93;135;80;1;95;20;65;50;54;37;0
AtlMG131;Serra de Itabirito, floresta semidecídua;-438.514;-202.467;1134;Atlantic Forest;semideciduous_forest;18.7;12;67;190;26.6;8.8;17.8;1551;340;13;88;105;56;1;110;20;65;50;54;37;0
AtlMG132;Serra da Moeda, floresta semidecídua;-439.694;-202.703;1136;Atlantic Forest;semideciduous_forest;19.1;12.4;67;199;27.2;8.6;18.6;1452;330;12;91;120;69;1;103;20;65;50;54;17;0
AtlMG133;Ouro Preto, Uaimií, floresta semidecídua;-435.481;-202.911;1300;Atlantic Forest;semideciduous_forest;17.3;11.3;64;199;25;7.4;17.6;1601;343;14;86;95;38;3;130;20;65;50;54;17;0
AtlMG134;Cachoeira do Campo, floresta semidecídua;-436.694;-203.372;1164;Atlantic Forest;semideciduous_forest;18.7;11.6;65;201;26.5;8.6;17.9;1504;328;13;88;110;57;1;109;5;65;50;58;17;0
AtlMG135;Ouro Branco, floresta semidecídua;-437.242;-204.972;1053;Atlantic Forest;semideciduous_forest;18.3;11.6;66;197;26.2;8.5;17.7;1522;321;15;86;105;49;2;100;20;65;50;54;17;0
AtlMG136;Catas Altas da Noruega, floresta semidecídua;-435.394;-205.922;1279;Atlantic Forest;semideciduous_forest;17.5;11.2;63;211;25.4;7.7;17.7;1541;305;18;83;100;35;3;123;20;65;50;54;17;0
