;SiteName;Long10;Lat10;Altitude;Domain;vegetation_type;TempAnn;TempDayRng;Isotherm;TempSeas;TempMax;TempMin;TempAnnRng;PrecAnn;PrecWetP;PrecDryP;PrecSeas;WaterDefDur;WaterDefSev;DaysFrost;CloudItcp;Rockiness;Sandiness;SoilDrain;SoilWaterStorage;SoilFert;Salinity
AtlMG167;Topo do Mundo, campo rupícola;-439.753;-201.803;1506;Atlantic Forest;campo_rupestre;17.1;12.1;66;195;25;6.8;18.2;1569;347;13;90;105;46;5;148;80;85;5;11;5;0
CaaMG001;Montividiu, caatinga quartzítica;-43.02;-151.278;996;Caatinga;dry_forest;21.6;11.2;75;129;28.5;13.5;15;787;176;2;96;165;174;0;0;45;65;20;33;5;0
CaaMG002;Santo Antônio do Retiro, caatinga quartzítica;-426.939;-151.414;1068;Caatinga;dry_forest;20.7;11.1;74;138;27.6;12.7;14.9;778;174;3;98;170;169;0;58;45;65;20;33;5;0
CaaMG003;Espinosa, caatinga alcalina;-428.325;-149.481;644;Caatinga;dry_forest;24.4;11.2;75;123;31.2;16.2;15;757;166;1;95;170;205;0;0;20;55;35;49;87;20
CaaMG004;Monte Azul, caatinga alcalina;-428.656;-151.214;698;Caatinga;dry_forest;23.6;10.8;76;121;30.3;16.1;14.2;828;182;1;97;165;200;0;0;20;55;35;49;87;20
CaaMG025;Mato Verde, caatinga arbórea;-428.283;-153.972;741;Caatinga;dry_forest;22.7;11.5;75;138;29.8;14.4;15.4;989;223;2;98;160;178;0;0;20;65;20;39;67;0
CaaMG028;Francisco Sá, caatinga arbórea;-434.703;-164.469;734;Caatinga;dry_forest;22;13;70;171;30.3;11.8;18.5;975;223;3;101;160;181;0;0;20;45;35;51;87;0
CaaMG032;Usina de Irapé, floresta decídua;-426.108;-167.608;574;Caatinga;dry_forest;23;13.3;70;185;31.7;12.7;19;1011;216;3;96;165;163;0;0;45;55;5;28;37;0
CaaMG033;Ninheira, floresta decídua;-416.964;-152.633;923;Caatinga;dry_forest;21.2;10.9;70;162;28.6;13;15.6;882;188;7;87;150;130;0;0;20;55;20;41;37;0
CaaMG035;Taiobeiras, floresta decídua;-420.656;-158.703;854;Caatinga;dry_forest;21;12.1;70;174;28.9;11.6;17.3;883;191;4;92;155;135;0;0;20;55;20;41;37;0
CerMG028;Francisco Sá, floresta ripícola;-434.706;-165.725;703;Cerrado;riverine_forest;21.9;12.9;71;168;30;11.9;18.1;1020;232;3;101;165;178;0;0;5;65;80;73;37;0
